link,holiday,title,author,rating,reviews,kindle price,paperback price,hardcover price,Reading age,Print length,Language,Grade level,Dimensions,Publisher,Publication date,ISBN-10,ISBN-13,Lexile measure,File size,Page Flip,Word Wise,Enhanced typesetting
"https://www.amazon.com/Dear-Santa-Love-Rachel-Rosenstein/dp/0553510614/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512165466&sr=1-1&keywords=Dear+Santa,+Love,+Rachel+Rosenstein&linkCode=ll1&tag=familyeducom-20&linkId=f3093d9b2a0c12a4e85cd93c7c3a3283",Hanukkah,"Dear Santa, Love, Rachel Rosenstein","Amanda Peet (Author), Andrea Troyer (Author), Christine Davenier (Illustrator)",4.3,63,5.99,,7.98,3 - 7 years,40 pages,English,Preschool - 2,9.81 x 0.33 x 9.81 inches,Doubleday Books for Young Readers,"October 20, 2015",0553510614,978-0553510614,AD620L,,,,
https://www.amazon.com/gp/product/B081435LCQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B081435LCQ&linkCode=as2&tag=familyeducom-20&linkId=8fac947ea77f04cfb889e37b398cdf19,Kwanzaa,"Let's Celebrate Kwanzaa!: An Introduction To The Pan-Afrikan Holiday, Kwanzaa, For The Whole Family","Arielle Phoenix  (Author, Illustrator)",4.8,67,3.99,11.49,,Baby - 18 years,35 pages,English,,,,"November 6, 2019",,,,19560 KB,Not Enabled,Not Enabled,Not Enabled
https://www.amazon.com/gp/product/B081435LCQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B081435LCQ&linkCode=as2&tag=familyeducom-20&linkId=f08f4d4e4c5f650547229216db340667,Kwanzaa,"Let's Celebrate Kwanzaa!: An Introduction To The Pan-Afrikan Holiday, Kwanzaa, For The Whole Family","Arielle Phoenix  (Author, Illustrator)",4.8,67,3.99,11.49,,Baby - 18 years,35 pages,English,,,,"November 6, 2019",,,,19560 KB,Not Enabled,Not Enabled,Not Enabled
https://www.amazon.com/gp/product/0060728167/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0060728167&linkCode=as2&tag=familyeducom-20&linkId=512d11b457a17289b8f2cec1d99c8bfa,Kwanzaa,Li'l Rabbit's Kwanzaa,Donna L. Washington  (Author) Shane W. Evans (Illustrator),4.8,156,,7.99,10.99,4 - 8 years,32 pages,English,Preschool - 2,10.25 x 0.5 x 10.25 inches,Katherine Tegen Books,"September 28, 2010",0060728167,978-0060728168,AD550L,,,,
https://www.amazon.com/gp/product/0060728167/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0060728167&linkCode=as2&tag=familyeducom-20&linkId=86ae54030863ead757f62c1e13d227e1,Kwanzaa,Li'l Rabbit's Kwanzaa,Donna L. Washington  (Author) Shane W. Evans (Illustrator),4.8,156,,7.99,10.99,4 - 8 years,32 pages,English,Preschool - 2,10.25 x 0.5 x 10.25 inches,Katherine Tegen Books,"September 28, 2010",0060728167,978-0060728168,AD550L,,,,
https://www.amazon.com/gp/product/1250050464/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1250050464&linkCode=as2&tag=familyeducom-20&linkId=e0e4d6e3251b7f60e1aba2365dd8f112,Kwanzaa,My First Kwanzaa (My First Holiday),"Karen Katz  (Author, Illustrator)",4.8,345,,6.09,49.0,2 - 5 years,32 pages,English,Preschool - Kindergarten,7.99 x 0.1 x 8.91 inches,Square Fish,"October 14, 2014",1250050464,978-1250050465,AD580L,,,,
https://www.amazon.com/gp/product/1250050464/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1250050464&linkCode=as2&tag=familyeducom-20&linkId=13a38957f1f7d94ad2b048663c73ac8c,Kwanzaa,My First Kwanzaa (My First Holiday),"Karen Katz  (Author, Illustrator)",4.8,345,,6.09,49.0,2 - 5 years,32 pages,English,Preschool - Kindergarten,7.99 x 0.1 x 8.91 inches,Square Fish,"October 14, 2014",1250050464,978-1250050465,AD580L,,,,
https://www.amazon.com/gp/product/1426328494/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1426328494&linkCode=as2&tag=familyeducom-20&linkId=814f84629324d1dc81655a043a5ed80d,Kwanzaa,Holidays Around the World: Celebrate Kwanzaa,Carolyn Otto  (Author),4.8,144,,7.99,,6 - 9 years,32 pages,English,1 - 4,8.5 x 0.13 x 10 inches,National Geographic Kids,"September 5, 2017",1426328494,978-1426328497,780L,,,,
https://www.amazon.com/gp/product/1426328494/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1426328494&linkCode=as2&tag=familyeducom-20&linkId=3637bcf2ef0ccfc5fb29adfc01336e1c,Kwanzaa,Holidays Around the World: Celebrate Kwanzaa,Carolyn Otto  (Author),4.8,144,,7.99,,6 - 9 years,32 pages,English,1 - 4,8.5 x 0.13 x 10 inches,National Geographic Kids,"September 5, 2017",1426328494,978-1426328497,780L,,,,
https://www.amazon.com/gp/product/1699236003/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1699236003&linkCode=as2&tag=familyeducom-20&linkId=03bcaae44b7390f5071f638c1d879ba5,Kwanzaa,Kwanzaa Coloring Book For Kids: Fun Activity For Young Children To Celebrate Kwanzaa Boys And Girls Will Learn And Ask Questions About This Important Holiday,Special Memories Journals (Author),5.0,3,,5.99,,,45 pages,English,,8.5 x 0.11 x 11 inches,,"October 11, 2019",1699236003,978-1699236000,,,,,
